FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,50,500,10,0.955,0.538,0.689,0.953,0.997,0.974
2,100,10000,10,0.997,0.983,0.99,0.998,1.0,0.999
2,50,5000,40,0.997,0.994,0.995,0.996,0.998,0.997
2,1000,500,10,0.933,0.467,0.622,0.959,0.997,0.978
1,1000,200,10,0.571,0.857,0.686,0.986,0.939,0.962
1,100,10000,20,0.996,1.0,0.998,1.0,0.999,1.0
1,1000,10000,20,0.991,1.0,0.996,1.0,0.998,0.999
1,50,50000,10,0.999,1.0,0.999,1.0,1.0,1.0
1,1000,500,10,0.842,0.667,0.744,0.979,0.992,0.986
2,1000,10000,20,0.999,0.991,0.995,0.998,1.0,0.999
2,100,200,10,1.0,0.15,0.261,0.892,1.0,0.943
1,20,1000,10,0.88,0.746,0.807,0.98,0.992,0.986
1,500,10000,40,0.998,1.0,0.999,1.0,0.999,0.999
2,20,200,50,0.886,0.864,0.875,0.866,0.887,0.877
1,500,10000,20,0.998,1.0,0.999,1.0,1.0,1.0
2,1000,1000,30,0.955,0.984,0.969,0.993,0.978,0.985
2,50,200,20,1.0,0.903,0.949,0.977,1.0,0.989
1,500,1000,50,0.946,1.0,0.972,1.0,0.952,0.975
2,100,500,20,0.877,0.91,0.893,0.978,0.969,0.974
2,20,1000,5,0.938,0.341,0.5,0.963,0.999,0.981
2,1000,1000,20,0.935,0.967,0.951,0.992,0.985,0.988
1,100,1000,30,0.962,1.0,0.981,1.0,0.982,0.991
1,100,5000,20,0.985,1.0,0.993,1.0,0.996,0.998
1,20,10000,50,0.999,1.0,1.0,1.0,0.999,1.0
1,100,200,50,0.82,1.0,0.901,1.0,0.772,0.871
2,100,10000,30,0.995,0.995,0.995,0.998,0.998,0.998
2,100,500,5,0.714,0.227,0.345,0.957,0.995,0.975
1,20,200,40,0.836,0.984,0.904,0.989,0.879,0.93
2,50,10000,40,0.997,0.996,0.997,0.997,0.998,0.998
2,50,500,20,0.926,0.818,0.869,0.958,0.985,0.971
2,100,200,40,0.817,0.971,0.887,0.975,0.837,0.901
2,500,200,40,0.928,0.941,0.934,0.957,0.946,0.951
1,50,200,30,0.878,0.843,0.86,0.929,0.945,0.937
1,50,10000,30,0.997,1.0,0.998,1.0,0.999,0.999
2,500,10000,5,0.983,0.924,0.952,0.996,0.999,0.998
2,1000,5000,20,0.994,0.978,0.986,0.994,0.998,0.996
2,1000,10000,50,0.998,0.996,0.997,0.997,0.998,0.997
1,20,500,10,0.938,0.938,0.938,0.992,0.992,0.992
1,20,50000,20,0.999,1.0,1.0,1.0,1.0,1.0
1,50,500,30,0.898,1.0,0.946,1.0,0.95,0.974
2,500,500,30,0.955,0.962,0.958,0.981,0.978,0.98
1,500,10000,30,0.996,1.0,0.998,1.0,0.998,0.999
2,50,50000,5,0.995,0.98,0.988,0.999,1.0,0.999
1,100,200,5,1.0,0.143,0.25,0.925,1.0,0.961
1,50,500,5,0.75,0.571,0.649,0.977,0.989,0.983
1,50,10000,40,0.998,1.0,0.999,1.0,0.999,0.999
1,1000,10000,40,0.999,1.0,0.999,1.0,0.999,1.0
1,100,10000,5,0.989,0.968,0.978,0.998,0.999,0.999
1,20,500,20,0.846,0.975,0.906,0.994,0.957,0.975
2,20,500,50,0.948,1.0,0.973,1.0,0.945,0.972
1,20,5000,40,0.994,1.0,0.997,1.0,0.996,0.998
2,100,200,5,1.0,0.333,0.5,0.936,1.0,0.967
2,100,50000,20,0.999,0.995,0.997,0.999,1.0,0.999
1,100,5000,50,0.999,1.0,0.999,1.0,0.998,0.999
2,100,1000,20,0.942,0.929,0.935,0.983,0.986,0.985
2,1000,50000,20,0.999,0.994,0.997,0.999,1.0,0.999
2,1000,5000,50,0.995,0.997,0.996,0.997,0.995,0.996
1,500,500,20,0.795,0.946,0.864,0.987,0.945,0.966
1,100,500,20,0.85,0.791,0.819,0.944,0.962,0.953
2,20,1000,20,0.912,0.795,0.849,0.952,0.981,0.966
1,100,1000,50,0.99,1.0,0.995,1.0,0.99,0.995
1,100,200,10,1.0,0.455,0.625,0.962,1.0,0.98
1,500,50000,50,0.999,1.0,1.0,1.0,0.999,1.0
